BEDRIJFSNAAM,VESTIGINGSPLAATS,VERSTREKT VOORSCHOT,waarsch_buitenland,provincie,provincie_code,gemeente,gemeente_code
A BOOTH B.V.,OOSTZAAN,96015,0,Noord-Holland,PV27,Oostzaan,0431
A BOUBAOUCH,AMSTERDAM,8652,0,Noord-Holland,PV27,Amsterdam,0363
A BRANTJES,ZAANDAM,8007,0,Noord-Holland,PV27,Zaanstad,0479
A CELEBI,ROTTERDAM,1902,0,Zuid-Holland,PV28,Rotterdam,0599
A de LANGE,NOORDWIJK ZH,1155,0,Zuid-Holland,PV28,Noordwijk,0575
A de VRIES,VOLLENHOVE,2361,0,Overijssel,PV23,Steenwijkerland,1708
A den HAMER,VLAARDINGEN,3192,0,Zuid-Holland,PV28,Vlaardingen,0622
A Dulak,ROTTERDAM,732,0,Zuid-Holland,PV28,Rotterdam,0599
A El BOUCHETAOUI,ROTTERDAM,7956,0,Zuid-Holland,PV28,Rotterdam,0599
A FAKEN,RODEN,1572,0,Drenthe,PV22,Noordenveld,1699
A G K ELECTRO V.O.F.,CRUQUIUS,8514,0,Noord-Holland,PV27,Haarlemmermeer,0394
A GEUGIEN,ARNHEM,3528,0,Gelderland,PV25,Arnhem,0202
A GUC B.V.,ROTTERDAM,6330,0,Zuid-Holland,PV28,Rotterdam,0599
A HEIJKOOP,SPRANG-CAPELLE,35097,0,Noord-Brabant,PV30,Waalwijk,0867
A JAMSHIDI,WEMBLEY MIDDLESEX,681,1,,,,
A KAKAL,OOSTZAAN,5952,0,Noord-Holland,PV27,Oostzaan,0431
A KUIPER,HOORN TERSCHELLING,33237,0,Fryslân,PV21,Terschelling,0093
A MANASSIS,TERNEUZEN,16341,0,Zeeland,PV29,Terneuzen,0715
A MEINTJENS,ALKMAAR,1788,0,Noord-Holland,PV27,Alkmaar,0361
A OZKURT,S-HEERENHOEK,5868,0,Zeeland,PV29,Borsele,0654
A PETERS,HOENSBROEK,594,0,Limburg,PV31,Heerlen,0917
A PILET,MAASTRICHT,13077,0,Limburg,PV31,Maastricht,0935
A POLEIJ,S-GRAVENZANDE,8910,0,Zuid-Holland,PV28,Westland,1783
A RAFIKI,HAMONT-ACHEL,2034,1,,,,
A RANIERI,AMSTERDAM,996,0,Noord-Holland,PV27,Amsterdam,0363
A ROTTERDAM B.V.,ALKMAAR,27117,0,Noord-Holland,PV27,Alkmaar,0361
A URBANSKA,ZYCHLIN,11214,1,,,,
A VAN DER HEIDE,BAD BENTHEIM,11811,0,Groningen,PV20,Oldambt,1895
A VAN O B.V.,UTRECHT,15747,0,Utrecht,PV26,Utrecht,0344
A van WOENSEL,KRIMPEN AAN DEN IJSSEL,14067,0,Zuid-Holland,PV28,Krimpen aan den IJssel,0542
A WORLD OF FANTASY B.V.,VEGHEL,9480,0,Noord-Brabant,PV30,Meierijstad,1948
A YAR,ALKMAAR,570,0,Noord-Holland,PV27,Alkmaar,0361
A ZAKI,AMSTERDAM,19794,0,Noord-Holland,PV27,Amsterdam,0363
A&A C.V.,MAASTRICHT,1041,0,Limburg,PV31,Maastricht,0935
A&D HOUTBEWERKING B.V.,OOSTERWOLDE FR,20715,0,Fryslân,PV21,Ooststellingwerf,0085
A&D TECHNIEK B.V.,CAPELLE AAN DEN IJSSEL,19572,0,Zuid-Holland,PV28,Capelle aan den IJssel,0502
A&F HORECA UITZENDBUREAU B.V.,ROTTERDAM,26991,0,Zuid-Holland,PV28,Rotterdam,0599
A&GJ SERVICE B.V.,EEMNES,5862,0,Utrecht,PV26,Eemnes,0317
A&O HOSTEL AND HOTEL AMSTERDAM B.V.,AMSTERDAM,68271,0,Noord-Holland,PV27,Amsterdam,0363
A&R B.V.,TILBURG,5010,0,Noord-Brabant,PV30,Tilburg,0855
A&S CARGO V.O.F.,WELLERLOOI,5820,0,Limburg,PV31,Bergen (L),0893
A&S HOLDING B.V.,S-GRAVENHAGE,3318,0,Zuid-Holland,PV28,'s-Gravenhage,0518
A. DE NIJS & ZONEN B.V.,WARMENHUIZEN,35007,0,Noord-Holland,PV27,Schagen,0441
A. JONKMAN & ZONEN B.V.,HASKERHORNE,12639,0,Fryslân,PV21,De Fryske Marren,1940
A. LEERING ENSCHEDE APPARATENBOUW B.V.,ENSCHEDE,69111,0,Overijssel,PV23,Enschede,0153
A. LEERING ENSCHEDE LASERWELDING B.V.,ENSCHEDE,16146,0,Overijssel,PV23,Enschede,0153
A. LEERING ENSCHEDE PLASMASNIJDEN B.V.,ENSCHEDE,40071,0,Overijssel,PV23,Enschede,0153
A. LEERING METAALBEWERKING B.V.,ENSCHEDE,10797,0,Overijssel,PV23,Enschede,0153
A. MOL SLOOPWERKEN B.V.,VLAARDINGEN,72465,0,Zuid-Holland,PV28,Vlaardingen,0622
A. NELIS BEHEER B.V.,RITTHEM,1428,0,Zeeland,PV29,Vlissingen,0718
A. POINT CULINAIRE B.V.,ECHTENERBRUG,9180,0,Fryslân,PV21,De Fryske Marren,1940
